Player,Position,Team,Final Carries,Final YpC,Proj. Rush Yd,Proj. RB Receptions,Final YpR,Proj. RB Receiving Yds,Proj. RushTDs,Proj. RB RecTDs,ATTD Prob. %,Standard Fantasy Score,PPR Fantasy Score
Jordan Mason,RB,SF,19.044905864208417,4.699698766281059,89.5053205939592,1.6946613872984944,7.8837112925862565,13.360221116155031,0.5153446251530438,0.055967628499892993,42.95616671470881,13.714427692929043,15.409089080227536
Saquon Barkley,RB,PHI,19.16441932975598,4.65485574126823,89.20760734518647,2.419118391721571,7.073622529487009,17.111930357178082,0.7586024662669117,0.07445870977589829,57.29308144615237,15.630320826493318,18.04943921821489
Derrick Henry,RB,BAL,18.240211624450026,4.737603937931553,86.41489842069933,1.3346222608180556,6.638770986270274,8.860251542749346,1.0111116262540532,0.15827471388407657,67.60564323886432,16.543833037173645,17.8784552979917
Chuba Hubbard,RB,CAR,17.0014475800046,4.738986734582589,80.56963455034307,3.0079928251560766,6.341289750174904,19.07455407076188,0.44066554418797627,0.09858641366346384,43.08739108547972,13.199930609219136,16.20792343437521
James Conner,RB,ARI,18.15240699317757,4.277775480768715,77.65192155234956,1.910149368781715,6.317734323114851,12.06781622942841,0.6357045571797709,0.08102976240185487,50.07440825584871,13.272379695667553,15.182529064449268
J.K. Dobbins,RB,LAC,16.845084544515544,4.547941330379721,76.61045621374289,2.3812012793474606,7.254418963400059,17.2742317165707,0.6348412863267312,0.06851293727991983,51.66179558973884,13.608594134671266,15.989795414018726
Bijan Robinson,RB,ATL,15.70928120490931,4.382982753173712,68.85350858587346,3.4099550938429695,7.403070294901679,25.244137262177553,0.5513650053639424,0.15052420680050158,51.15278315982044,13.621099857791766,17.031054951634736
Javonte Williams,RB,DEN,13.013192791554836,5.039823915961929,65.58420025390144,2.909599132950418,7.084914314460839,20.61426054638326,0.3390373895893073,0.10904545460657,36.971159426596145,11.308343145203732,14.217942278154151
D'Andre Swift,RB,CHI,16.988195468788316,3.761700361668681,63.90450103903925,2.768133373657329,8.686881269811504,24.04644595596398,0.7797911594377217,0.11935267715808925,59.31546130388997,14.189957719075188,16.958091092732516
David Montgomery,RB,DET,13.909077553300097,4.41409867490707,61.39604079720163,2.245528815343794,7.878045720579611,17.69037867415738,0.6849211896934432,0.18086984225117494,56.92822194471626,13.10338813880361,15.348916954147404
Jahmyr Gibbs,RB,DET,14.114392999685826,4.324299468309596,61.03486214405411,3.6681349837184545,8.252772686902983,30.272284205504977,0.5294815790075708,0.2097591443044729,52.2068568729826,13.56615897482817,17.234293958546623
Brian Robinson,RB,WAS,13.767721166311993,4.206031216113766,57.907465000258476,2.212533017707473,6.864312352113566,15.18751772290851,0.6880438694232822,0.16129883221769034,56.41296866260744,12.405554482162534,14.618087499870008
Jerome Ford,RB,CLE,13.206640261716025,4.204242389048258,55.523916805217894,2.722319242787039,6.594194711808576,17.95150315464102,0.39964499643973317,0.11295113202429943,39.98205252811973,10.423118766770086,13.145438009557125
Breece Hall,RB,NYJ,13.110797094327687,4.128827028822907,54.132213412472986,3.4639543466869096,7.566007357941885,26.208304074607934,0.3179339753194026,0.23042810119793175,43.08111187592937,11.324224207812097,14.788178554499007
Tank Bigsby,RB,JAC,10.541738852062725,5.109526037676577,53.86328914700128,1.3906640236253451,12.949424388739615,18.008298624076808,0.4344448096939986,0.05827882306644335,37.428753540233764,10.14350057367046,11.534164597295804
Travis Etienne,RB,JAC,11.789258325676924,4.5034266418661435,53.0920600316957,2.957130472082189,7.826634498314614,23.14437936881584,0.29416467795868473,0.09316099682984384,31.758687312735102,9.947597988782327,12.904728460864517
Rico Dowdle,RB,DAL,12.29367169452614,3.9061238099572875,48.02060371778651,2.296578866165116,7.596111531288208,17.445069207789633,0.09394990555458606,0.13463155755464687,21.052435520177823,7.9180560712130115,10.214634937378127
Chase Brown,RB,CIN,10.367590604527585,4.417969776762918,45.803701948654066,2.2936564935966204,8.122480680710066,18.63018055742374,0.4374796935028339,0.09234305090740415,43.81931384705762,9.622324717069208,11.915981210665828
Tyler Allgeier,RB,ATL,10.0062531950725,4.48649657643942,44.893020702678776,1.4830286252177258,7.084308503420921,10.506232300446573,0.20332580126019664,0.04050028165306364,21.577454119671593,7.002881797792096,8.485910423009821
Bucky Irving,RB,TB,10.064485950945649,4.214014453155983,42.411889260870296,2.1289377914240752,6.734038895023218,14.33634989253455,0.3037174823932038,0.0625497688234765,30.222986453231837,7.872427422640565,10.001365214064641
Zack Moss,RB,CIN,10.626998303528318,3.878265384173644,41.21431965824591,3.1422317346861033,7.645850672896836,24.025034623047535,0.4287839085031185,0.12478231829652447,42.43358880438905,9.845332788927204,12.987564523613306
Rachaad White,RB,TB,10.596903070956639,3.716959750080787,39.388262190253315,3.1643954374428267,7.499800325129898,23.732333930573276,0.07907800388055683,0.380219654269872,35.39161709017439,9.067845560985232,12.232240998428058
