Player,Position,Team,ATTD Prob. %
Jayden Reed,WR,GB,67.92044204228472
Derrick Henry,RB,BAL,67.60564323886432
D'Andre Swift,RB,CHI,59.31546130388997
Saquon Barkley,RB,PHI,57.29308144615237
David Montgomery,RB,DET,56.92822194471626
Brian Robinson,RB,WAS,56.41296866260744
Jahmyr Gibbs,RB,DET,52.2068568729826
J.K. Dobbins,RB,LAC,51.66179558973884
Bijan Robinson,RB,ATL,51.15278315982044
James Conner,RB,ARI,50.07440825584871
Chase Brown,RB,CIN,43.81931384705762
Terry McLaurin,WR,WAS,43.36547688567673
Chuba Hubbard,RB,CAR,43.08739108547972
Breece Hall,RB,NYJ,43.08111187592937
Jordan Mason,RB,SF,42.95616671470881
Zack Moss,RB,CIN,42.43358880438905
Jerome Ford,RB,CLE,39.98205252811973
Tank Bigsby,RB,JAC,37.428753540233764
Javonte Williams,RB,DEN,36.971159426596145
Amari Cooper,WR,CLE,36.53565058371156
Rachaad White,RB,TB,35.39161709017439
Drake London,WR,ATL,34.19872914267423
Chris Godwin,WR,TB,32.089040432595155
Amon-Ra St. Brown,WR,DET,31.95571004305673
Courtland Sutton,WR,DEN,31.863062963252037
Travis Etienne,RB,JAC,31.758687312735102
Marvin Harrison,WR,ARI,30.86886257004852
Mike Evans,WR,TB,30.329353742842606
Garrett Wilson,WR,NYJ,30.310001838559668
Bucky Irving,RB,TB,30.222986453231837
Deebo Samuel,WR,SF,29.962331453110718
Diontae Johnson,WR,CAR,29.22843781314229
Zay Flowers,WR,BAL,29.092144708197903
Ja'Marr Chase,WR,CIN,28.709087894676617
Brandon Aiyuk,WR,SF,28.47077668832384
CeeDee Lamb,WR,DAL,28.105212951435295
Jauan Jennings,WR,SF,27.242846849872688
DK Metcalf,WR,SEA,27.107874017694407
Ladd McConkey,WR,LAC,26.801136954254673
Ray-Ray McCloud,WR,ATL,26.716572350502293
Brian Thomas,WR,JAC,26.305257121439258
Stefon Diggs,WR,HOU,26.175919552915026
Darnell Mooney,WR,ATL,25.99290459424995
Jameson Williams,WR,DET,25.26554747716642
Jerry Jeudy,WR,CLE,25.135839442466978
George Kittle,TE,SF,24.989073513608606
Jake Ferguson,TE,DAL,24.362262663117487
Christian Kirk,WR,JAC,24.261760984516688
Trey McBride,TE,ARI,23.703321382936437
Dallas Goedert,TE,PHI,23.37930500666138
Tyler Lockett,WR,SEA,22.920865597584992
Jaxon Smith-Njigba,WR,SEA,22.289138011124308
Romeo Doubs,WR,GB,22.052973523928806
Jalen Tolbert,WR,DAL,21.926029185855704
Mark Andrews,TE,BAL,21.67125258882469
Tyler Allgeier,RB,ATL,21.577454119671593
Michael Wilson,WR,ARI,21.558220950722585
Noah Fant,TE,SEA,21.09543731520585
Rico Dowdle,RB,DAL,21.052435520177823
Allen Lazard,WR,NYJ,21.029170452497283
Zach Ertz,TE,WAS,20.768480680011272
Erick All,TE,CIN,20.742186721770608
Rashod Bateman,WR,BAL,20.73493692623267
Mike Gesicki,TE,CIN,20.709877089628993
Quentin Johnston,WR,LAC,20.419166691331313
Dontayvion Wicks,WR,GB,20.266003768631343
Rome Odunze,WR,CHI,19.75323399766641
Cole Kmet,TE,CHI,19.69215182588775
Gabe Davis,WR,JAC,19.68499329020367
Tyler Conklin,TE,NYJ,19.234578426278016
Christian Watson,WR,GB,19.216791875225937
Tank Dell,WR,HOU,18.704909577890415
Mike Williams,WR,NYJ,18.494101948844577
Dalton Kincaid,TE,BUF,18.47035443817466
Tucker Kraft,TE,GB,18.301327089308003
Elijah Moore,WR,CLE,18.068414468348422
Sam LaPorta,TE,DET,18.04456876619829
Greg Dortch,WR,ARI,18.0151756717305
Kyle Pitts,TE,ATL,17.83119647407995
Cade Otton,TE,TB,17.764629430148382
Luke McCaffrey,WR,WAS,17.539669066493172
Ja'Tavion Sanders,TE,CAR,17.494029778659055
Andrei Iosivas,WR,CIN,17.34733662980115
Dalton Schultz,TE,HOU,16.91175689795335
Keon Coleman,WR,BUF,16.759955127345506
Tommy Tremble,TE,CAR,16.629219178412015
Isaiah Likely,TE,BAL,15.952638166052049
Xavier Legette,WR,CAR,15.906915275222735
Nelson Agholor,WR,BAL,15.408546905710264
Dyami Brown,WR,WAS,15.230977943500312
Jahan Dotson,WR,PHI,14.910339780683426
Olamide Zaccheaus,WR,WAS,14.517465604111992
Jonathan Mingo,WR,CAR,14.278468146402318
Josh Reynolds,WR,DEN,14.26345364798832
Marquez Valdes-Scantling,WR,BUF,14.033441060148084
Charlie Kolar,TE,BAL,13.772837301711673
Mack Hollins,WR,BUF,13.010209531424632
Brenton Strange,TE,JAC,12.843229184411598
Dawson Knox,TE,BUF,12.39348307271184
Lil'Jordan Humphrey,WR,DEN,12.14530524917009
Gerald Everett,TE,CHI,11.958383580882712
Xavier Hutchinson,WR,HOU,10.460585605882404
